province,cultivated_areas,harvested_area,product,rain,fertilizer_price,oil_price,plant_price,year,type
อุทัยธานี,448399,444014,272976,0,17120.31,28.92,7.82,2558,ข้าว
เพชรบูรณ์,1025358,1012255,550531,827.7,17120.31,28.92,7.82,2558,ข้าว
เลย,337235,329581,121787,862.3,17120.31,28.92,7.82,2558,ข้าว
หนองบัวลำภู,700367,667557,211386,0,17120.31,28.92,7.82,2558,ข้าว
อุดรธานี,1682081,1639577,614004,1129.1,17120.31,28.92,7.82,2558,ข้าว
หนองคาย,465700,449279,166023,1523.5,17120.31,28.92,7.82,2558,ข้าว
บึงกาฬ,489607,434593,133565,0,17120.31,28.92,7.82,2558,ข้าว
สกลนคร,2002200,1896231,604989,1439.9,17120.31,28.92,7.82,2558,ข้าว
นครพนม,1305630,1269201,444897,2079.2,17120.31,28.92,7.82,2558,ข้าว
มุกดาหาร,486506,472304,181014,1013.9,17120.31,28.92,7.82,2558,ข้าว
ยโสธร,1298953,1240764,438809,0,17120.31,28.92,7.82,2558,ข้าว
อํานาจเจริญ,946121,927536,316857,0,17120.31,28.92,7.82,2558,ข้าว
อุบลราชธานี,3800719,3755055,1239110,1329.9,17120.31,28.92,7.82,2558,ข้าว
ศรีสะเกษ,2956173,2886081,1043147,1382.5,17120.31,28.92,7.82,2558,ข้าว
สุรินทร์,3082731,2966323,1145706,1258.6,17120.31,28.92,7.82,2558,ข้าว
บุรีรัมย์,2724040,2661043,1014771,1029.3,17120.31,28.92,7.82,2558,ข้าว
มหาสารคาม,2096233,1962748,716286,832,17120.31,28.92,7.82,2558,ข้าว
ร้อยเอ็ด,3035782,2841382,1080710,1051.7,17120.31,28.92,7.82,2558,ข้าว
กาฬสินธุ์,1439326,1420642,522960,1283.6,17120.31,28.92,7.82,2558,ข้าว
ขอนแก่น,2317220,1943017,656364,998.9,17120.31,28.92,7.82,2558,ข้าว
ชัยภูมิ,1555792,1400784,491853,912.8,17120.31,28.92,7.82,2558,ข้าว
นครราชสีมา,3470994,3009304,1086735,1171.1,17120.31,28.92,7.82,2558,ข้าว
สระบุรี,302842,298689,188009,0,17120.31,28.92,7.82,2558,ข้าว
ลพบุรี,614873,601098,314834,1185.1,17120.31,28.92,7.82,2558,ข้าว
สิงห์บุรี,266472,266073,179996,0,17120.31,28.92,7.82,2558,ข้าว
ชัยนาท,689827,688655,453169,985.8,17120.31,28.92,7.82,2558,ข้าว
สุพรรณบุรี,1308938,1264095,924780,960.4,17120.31,28.92,7.82,2558,ข้าว
อ่างทอง,310949,306366,199791,0,17120.31,28.92,7.82,2558,ข้าว
พระนครศรีอยุธยา,689363,684438,446920,1152.7,17120.31,28.92,7.82,2558,ข้าว
นนทบุรี,89750,89639,62377,0,17120.31,28.92,7.82,2558,ข้าว
กรงุเทพมหานคร,80782,78800,53196,1907.6,17120.31,28.92,7.82,2558,ข้าว
ปทุมธานี,317460,315904,223587,1045.7,17120.31,28.92,7.82,2558,ข้าว
นครนายก,367857,366052,205133,0,17120.31,28.92,7.82,2558,ข้าว
ปราจีนบุรี,386948,370314,150634,1628,17120.31,28.92,7.82,2558,ข้าว
ฉะเชิงเทรา,623761,614139,383755,1406.6,17120.31,28.92,7.82,2558,ข้าว
สระแก้ว,736165,528592,171129,1252.1,17120.31,28.92,7.82,2558,ข้าว
จันทบุรี,19824,19619,7084,2721.4,17120.31,28.92,7.82,2558,ข้าว
ตราด,16270,16134,6511,3918.4,17120.31,28.92,7.82,2558,ข้าว
ระยอง,17559,17363,7729,1449.7,17120.31,28.92,7.82,2558,ข้าว
ชลบุรี,68675,66701,31953,1046,17120.31,28.92,7.82,2558,ข้าว
สมุทรปราการ,21490,21269,15846,1648.4,17120.31,28.92,7.82,2558,ข้าว
สมุทรสาคร,7993,7958,5610,0,17120.31,28.92,7.82,2558,ข้าว
นครปฐม,334211,330732,242463,1171.6,17120.31,28.92,7.82,2558,ข้าว
กาญจนบุรี,384438,370951,223276,963.2,17120.31,28.92,7.82,2558,ข้าว
ราชบุรี,283808,281338,188409,935.1,17120.31,28.92,7.82,2558,ข้าว
สมุทรสงคราม,3562,3562,2511,0,17120.31,28.92,7.82,2558,ข้าว
เพชรบุรี,296278,293258,204627,794.1,17120.31,28.92,7.82,2558,ข้าว
ประจวบคีรีขันธ์,21350,20503,11081,978.7,17120.31,28.92,7.82,2558,ข้าว
ชุมพร,5074,4719,1854,2107.8,17120.31,28.92,7.82,2558,ข้าว
ระนอง,1100,1087,371,3596.2,17120.31,28.92,7.82,2558,ข้าว
สุราษฎร์ธานี,5295,5281,2319,1454.9,17120.31,28.92,7.82,2558,ข้าว
พังงา,1358,1353,423,0,17120.31,28.92,7.82,2558,ข้าว
ภูเก็ต,69,68,34,2485.7,17120.31,28.92,7.82,2558,ข้าว
กระบี่,6658,6591,2054,1976,17120.31,28.92,7.82,2558,ข้าว
ตรัง,12292,12219,4748,1973.5,17120.31,28.92,7.82,2558,ข้าว
นครศรีธรรมราช,287985,285433,128859,2091,17120.31,28.92,7.82,2558,ข้าว
พัทลุง,131716,130638,56644,2032.4,17120.31,28.92,7.82,2558,ข้าว
สงขลา,200688,199212,106801,1573.8,17120.31,28.92,7.82,2558,ข้าว
สตูล,25012,24615,9754,2649.3,17120.31,28.92,7.82,2558,ข้าว
ปัตตานี,82973,82154,30434,1189.7,17120.31,28.92,7.82,2558,ข้าว
ยะลา,26369,26115,9324,1753.8,17120.31,28.92,7.82,2558,ข้าว
